2013-Nov-25;15:50:43.354260;Start distance log
2013-Nov-25;15:50:43.354260;Track Description:;Track;trackID;_;__;___;Expected;expectDistance;expectAngle;Val;distance;____;velocity;acceleration;ttc;decelerationToStop;probability;ThreatLevel;Ch.0;Ch.1;Ch.2;Ch.3;Ch.4;Ch.5;Ch.6;
2013-Nov-25;15:50:43.354260;Distance Description:;Dist;_;__;Channel;DetectionID;Expected;expectDistance;expectAngle;Val;distance;intensity;velocity;acceletation;ttc;decelerationToStop;probability;ThreatLevel
2013-Nov-25;15:50:43.993296; ;Track;1065; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:43.993296; ;Track;1066; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.003297; ;Track;1067; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.003297; ;Track;1068; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.013298; ;Track;1069; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.013298; ;Track;1070; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.023298; ;Track;1071; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.023298; ;Track;1072; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.033299; ;Track;1073; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.033299; ;Track;1074; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.043299; ;Track;1075; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.043299; ;Track;1076; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
2013-Nov-25;15:50:44.053300; ;Track;1077; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;1;0;0;0;0;0;
2013-Nov-25;15:50:44.053300; ;Track;1078; ; ; ;Expected;0.00;0.0;Val;6.50; ;19.3;0.0;0.34;-57.0;99;0;0;0;0;0;0;5;0;
